id,mrn_id,product_name,category,product_type,country,color,height,width,length,weight,uom,cft,purchase_amount_per_uom,purchase_amount_per_uom_in_vendor_currency,amount_in_vendor_currency,amount,total_expense,total_amount,barcode,status,po_number,po_product_id,total_quantity,created_by,created_date,last_modified_by,last_modified_date,branch_id,org_id,maker_id,checker_id,entity_name,handler_name,checkers_approved_count,revision,active,entity_id,product_code,country_code,color_code,container_no,customs_duty,clearing_charges,ocean_fright,transportation_charges,container_damage_charges,other_charges,block_number,hsn_code,total_purchase_account_amount,sgst_amount,cgst_amount,igst_amount,total_raw_material_amount_without_tax,po_number_from_mrn,vendor_name,broker_name,vendor_currency,port_of_shipment,country_of_shipment,port_of_discharge,mrn_created_date,currency,volume,density,area,weight_x_vendor_price,price_per_cft,purchase_month,purchase_quarter,predicted_landed_cost,actual_landed_cost,residual,absolute_residual,residual_pct,is_cost_anomaly
196,18,veretino,,,italy,exotic,180.0,180.0,200.0,29.9,ton,6.48,26050.44,275.0,8222.5,778908.03,,1441208.81,RRM 325/VER-INO/IT/EXT,INITIATED,,151,0.0,,2025-07-17 15:34:12.090886,,2025-07-18 12:41:23.133645,,,,,,,0,1,False,,VER-INO,IT,EXT,HLXU1219145,510715.89,12651.83,94146.86,14949.2,,29837.0,RRM 325,6802,,,,,778908.03,15.0,zayed marmo srl,unknown,eur,la spezia,italy,tuticorin,2025-07-17 15:34:12.082593,EUR,6480000.0,4.614197530864197e-06,36000.0,8222.5,42.43827160493827,7,3,1392436.9211532823,1441208.81,48771.888846717775,48771.888846717775,0.03502628241595503,1
47,4,solo grey,,,turkey,grey,190.0,170.0,275.0,23.22,ton,8.88,17375.04,205.0,4760.1,403448.48,,777512.13,RRM 264/SOL-GRE/TR/GRY,INITIATED,,2,0.0,,2025-07-13 11:47:02.679056,,2025-07-14 13:13:22.866649,,,,,,,0,1,False,,SOL-GRE,TR,GRY,GLDU5222568,232088.29,39206.86,,17351.25,85417.25,,RRM 264,6802,,,,,403448.48,1.0,blue eye stone ltd,unknown,usd,jebel ali,turkey,tuticorin,2025-07-13 11:47:02.666946,USD,8882500.0,2.614128905150577e-06,46750.0,4760.099999999999,23.085585585585584,7,3,739646.6797452683,777512.13,37865.450254731695,37865.450254731695,0.05119397043433281,1
526,191,vanila grey,,,turkey,grey,200.0,165.0,290.0,26.1,SQF,9.57,12847.5,150.0,3915.0,335319.77,,641560.46,RRM 63/VANILA/GRY,INITIATED,,399,0.0,,2026-01-07 11:56:50.001334,,2026-01-13 15:19:53.255562,,,,,,,0,1,False,,VANILA,,GRY,MSMU1326750,269312.73,18708.71,,18219.25,,,RRM 63,6802,,,,,335319.77,41.0,happy moon stone,raiyan,usd,mersin,turkey,tuticorin,2026-01-07 11:56:49.912612,USD,9570000.0,2.7272727272727272e-06,47850.0,3915.0,15.67398119122257,1,1,678761.0756672884,641560.46,-37200.615667288424,37200.615667288424,0.0548066425740701,1
166,14,mastic grey,,,turkey,grey,180.0,140.0,270.0,17.78,ton,6.8,13348.5,150.0,2667.0,237336.33,,573136.85,RRM 72/MAS-GRE/TR/GRY,INITIATED,,121,0.0,,2025-07-17 11:48:04.083784,,2025-07-17 17:37:00.600833,,,,,,,0,1,False,,MAS-GRE,TR,GRY,MEDU131062-8,191168.51,13666.17,106712.51,10495.8,,13757.53,RRM 72,6802,,,,,237336.33,11.0,happy moon stone,unknown,usd,mersin,turkey,tuticorin,2025-07-17 11:48:04.075301,USD,6804000.0,2.6131687242798354e-06,37800.0,2667.0,22.058823529411764,7,3,536793.1778293041,573136.85,36343.67217069585,36343.67217069585,0.06770516778484999,1
170,14,fallson grey,,,turkey,grey,191.0,116.0,273.0,25.53,ton,6.05,13348.5,150.0,3829.5,340787.2,,862603.29,RRM 58/FALL-GRE/TR/GRY,INITIATED,,125,0.0,,2025-07-17 11:48:04.096579,,2025-07-17 17:37:00.602649,,,,,,,0,1,False,,FALL-GRE,TR,GRY,MSDU160155-7,274495.62,19612.43,153143.91,15062.6,39758.0,19743.53,RRM 58,6802,,,,,340787.2,11.0,happy moon stone,unknown,usd,mersin,turkey,tuticorin,2025-07-17 11:48:04.075301,USD,6048588.0,4.220819801249482e-06,31668.0,3829.5,24.793388429752067,7,3,829723.033316048,862603.29,32880.25668395206,32880.25668395206,0.039627990743542146,1
591,197,cevher 4opc,,,turkey,exotic,210.0,155.0,290.0,25.57,SQF,9.44,18726.09,200.0,5114.0,478826.0,,875351.4,RRM 403/CEVHER4OPC/EXT,INITIATED,,457,0.0,,2026-01-07 14:53:22.205764,,2026-01-13 11:43:49.316572,,,,,,,0,1,False,,CEVHER4OPC,,EXT,SEGU2926962,259441.4,14798.0,80544.0,14000.0,,27742.0,RRM 403,6802,,,,,478826.0,45.0,cevher madencilik insaat giga san ve dis tic ltd s,antalya agent ind,usd,mersin,turkey,tuticorin,2026-01-07 14:53:22.194857,USD,9439500.0,2.7088299168388158e-06,44950.0,5114.0,21.186440677966104,1,1,845201.3934095532,875351.4,30150.006590446807,30150.006590446807,0.03567197927682217,1
176,15,carrara white,,,italy,white,95.0,180.0,200.0,22.48,ton,3.42,22173.41,240.0,5395.2,498458.2,,945751.48,RRM 309/CAR-WHI/IT/WHT,INITIATED,,137,0.0,,2025-07-17 12:52:04.335036,,2025-07-18 10:04:45.080972,,,,,,,0,1,False,,CAR-WHI,IT,WHT,HAMU1015355,338853.05,8856.62,69475.85,11130.0,,18977.76,RRM 309,6802,,,,,498458.2,13.0,zayed marmo srl,unknown,eur,la spezia,italy,tuticorin,2025-07-17 12:52:04.326570,EUR,3420000.0,6.573099415204679e-06,36000.0,5395.2,70.17543859649123,7,3,916031.9631386205,945751.48,29719.516861379496,29719.516861379496,0.03244375530254519,1
385,183,sanata paris,,,turkey,exotic,190.0,182.0,278.0,25.82,SQF,9.61,13300.5,150.0,3873.0,343418.91,,617052.28,RRM 48/SAN-PAR/EXT,INITIATED,,251,0.0,,2026-01-06 11:33:20.867463,,2026-01-06 11:33:20.867463,,,,,,,0,1,False,,SAN-PAR,,EXT,MSNU2463935,273633.37,,,,,,RRM 48,6802,,,,,343418.91,31.0,happy moon stone,raiyan,usd,mersin,turkey,tuticorin,2026-01-06 11:33:20.822623,USD,9613240.0,2.6858790584652003e-06,50596.0,3873.0,15.608740894901146,1,1,646707.2313522971,617052.28,-29654.951352297096,29654.951352297096,0.045855295742228075,1
175,15,statuario white,,,italy,white,95.0,180.0,200.0,29.94,ton,3.42,22173.41,240.0,7185.6,663871.82,,1259624.0,RRM 304/STA-WHI/IT/WHT,INITIATED,,136,0.0,,2025-07-17 12:52:04.333080,,2025-07-18 10:04:45.080478,,,,,,,0,1,False,,STA-WHI,IT,WHT,HAMU1106250,451301.62,11797.68,92547.07,14826.0,,25279.81,RRM 304,6802,,,,,663871.82,13.0,zayed marmo srl,unknown,eur,la spezia,italy,tuticorin,2025-07-17 12:52:04.326570,EUR,3420000.0,8.75438596491228e-06,36000.0,7185.6,70.17543859649123,7,3,1288905.1896196343,1259624.0,-29281.1896196343,29281.1896196343,0.022717877044373915,1
589,196,hhscm 2opc,,,china,exotic,200.0,184.0,262.0,26.26,SQF,9.64,12759.24,140.0,3676.4,335057.76,,829452.75,RRM 369/HHSCM2OPC/EXT,INITIATED,,455,0.0,,2026-01-07 14:26:17.865142,,2026-01-13 12:18:20.153286,,,,,,,0,1,False,,HHSCM2OPC,,EXT,MSDU2054027,237954.29,12856.52,176589.34,13815.2,,53179.64,RRM 369,6802,,,,,335057.76,44.0,honhkong henshun supply chain management co ltd,hasnain,usd,qinzhou,china,tuticorin,2026-01-07 14:26:17.855766,USD,9641600.0,2.7236143378692336e-06,48208.0,3676.4,14.522821576763485,1,1,801368.1960794677,829452.75,28084.553920532344,28084.553920532344,0.035045755568951155,1
